id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1342805051132257007,The Avery by Dear Valentine,6467652,1462707175883897403,Dear Valentine,,Lower Garden District,29.936262,-90.0753847,Entire home/apt,1682,1,26,2026-03-14,2.00,11,308,23,25-XSTR-03430
1342829181398043205,"Stylish, Central Nola Getaway! Parking+Street Car",64823547,1466801617085544891,Brenna And Nick,,Mid-City,29.9630633,-90.0904738,Entire home/apt,567,1,54,2026-03-16,3.99,78,305,48,"25-CSTR-00670, 23-OSTR-19687"
1342853162491126562,Sleek Room for Traveling/Remote Workers,210729557,1469099549266147402,William,,St. Claude,29.97436,-90.03709,Private room,,30,9,2025-11-01,0.67,1,11,3,"20STR-00274, 20-OSTR-00274"
1342894855575507940,Uptown charm in a great location,54727149,1465894119879421755,Anthony,,Touro,29.924581,-90.0966071,Entire home/apt,104,31,1,2025-03-13,0.08,1,143,0,
1342911297613707879,Garden District Luxury Awaits - 4 Bed / 4.5 Bath!,194732128,1469014727758707249,Amber,,Lower Garden District,29.93215,-90.07972,Entire home/apt,238,60,0,,,2,270,0,"25STR15900, 25OSTR16900"
1343067324088964736,In the heart of Lakeview.,276605742,1469458545797082153,Leon,,West End,30.00665,-90.11812,Entire home/apt,53,30,0,,,1,291,0,
1343076224921711063,Modern 2-bedroom home 8 mins from Superdome,587085542,1470605385486779810,JL Rentals,,Central City,29.92999,-90.08913,Entire home/apt,553,30,0,,,1,365,0,"23-NSTR-45675, 33-OSTR-45675"
1343472732222231667,Fairgrounds Cottage,76363187,1466936715057721991,Kapwa Stays,,Seventh Ward,29.979683180497016,-90.07423847976759,Entire home/apt,93,30,0,,,1,345,0,
1343533142787218044,Crescent City Chateaux,672965263,1470685851082196256,Chantille,,Lakeview,29.99768,-90.1037,Entire home/apt,664,30,0,,,1,178,0,"25NSTR57368, 25OSTR52883"
1343534652657896210,Uptown Annex,523129659,1470353722844116168,Suzie,,Leonidas,29.95352,-90.13228,Entire home/apt,194,30,9,2025-11-16,0.73,3,365,8,"22-CSTR-62139, 23-OSTR-42190"
1343556726907786015,The Comfy Cottage,472946472,1470132893567599908,Martha,,Hollygrove,29.965642212901674,-90.12379006621403,Entire home/apt,337,30,0,,,2,88,0,"23-NSTR-16812, 23-OSTR-16815"
1343665036989132434,Bird on Belleville,22983301,1463193224821253309,Robin,,Algiers Point,29.95281809999999,-90.0481574,Entire home/apt,157,1,12,2026-02-22,0.89,1,28,11,"25-NSTR-01413, 25-OSTR-01374"
1343676264457337687,Luxury Condo in a Prime Location,186029962,1468962385377050496,Abbas,,Central City,29.93951,-90.07373,Entire home/apt,105,30,0,,,1,363,0,
1343780814007959567,NOLA Charm & Modern Comfort,674412257,1470688825284412723,Josh Aaron,,Lower Garden District,29.93301165741407,-90.07703611542544,Entire home/apt,397,2,14,2026-03-16,1.04,2,68,12,"25-NSTR-13089, 25-OSTR-11927"
1343926719014531073,Modern Living Just Steps from the French Quarter,561292944,1470506781432660935,Common Street Vacation Rentals,,Central Business District,29.95389815772665,-90.07241245889126,Entire home/apt,174,1,16,2026-02-24,1.19,75,222,12,23-XSTR-21621
